











START-STG[14] DLG P[2] 0
START-STG[14] DLG P[2] 1
START-STG[14] DLG P[2] 2
START-STG[14] DLG P[2] 3
START-STG[14] DLG P[2] 4
START-STG[14] DLG P[2] 5
START-STG[14] DLG P[3] 0
START-STG[14] DLG P[3] 1
START-STG[14] DLG P[3] 2
START-STG[14] DLG P[3] 3
START-STG[14] DLG P[3] 4
START-STG[14] DLG P[3] 5
START-STG[14] DLG P[4] 0
START-STG[14] DLG P[4] 1
START-STG[14] DLG P[4] 2
START-STG[14] DLG P[4] 3
START-STG[14] DLG P[4] 4
START-STG[14] DLG P[4] 5












BOSS STG[14] DLG P[2] 0
BOSS STG[14] DLG P[2] 1
BOSS STG[14] DLG P[2] 2
BOSS STG[14] DLG P[2] 3
BOSS STG[14] DLG P[2] 4
BOSS STG[14] DLG P[2] 5
BOSS STG[14] DLG P[3] 0
BOSS STG[14] DLG P[3] 1
BOSS STG[14] DLG P[3] 2
BOSS STG[14] DLG P[3] 3
BOSS STG[14] DLG P[3] 4
BOSS STG[14] DLG P[3] 5
BOSS STG[14] DLG P[4] 0
BOSS STG[14] DLG P[4] 1
BOSS STG[14] DLG P[4] 2
BOSS STG[14] DLG P[4] 3
BOSS STG[14] DLG P[4] 4
BOSS STG[14] DLG P[4] 5
